fluorophore,aliases,channel_aurora
FITC,FITC;AF488;ALEXAFLUOR488;ALEXA488;BB515,B2-A;B2;B1-A;B1
PE,PE;RFP,YG1-A;YG1
PE-CF594,PE-CF594;PECF594,YG3-A;YG3
PE-Cy5,PE-CY5;PECY5,YG5-A;YG5
PE-Cy5.5,PE-CY5.5;PECY55,YG7-A;YG7
PE-Cy7,PE-CY7;PECY7,YG9-A;YG9
APC,APC,R1-A;R1
APC-R700,APC-R700;APCR700;APCH700,R4-A;R4
APC-Cy7,APC-CY7;APCCY7,R7-A;R7
PerCP,PERCP,B8-A;B8
PerCP-Cy5.5,PERCP-CY5.5;PERCPCY55;BB700,B9-A;B9
BV421,BV421,V1-A;V1
BV480,BV480,V5-A;V5
BV510,BV510,V7-A;V7
BV570,BV570,V8-A;V8
BV605,BV605,V10-A;V10
BV650,BV650,V11-A;V11
BV661,BV661,
BV711,BV711,V13-A;V13
BV737,BV737,
BV750,BV750,V14-A;V14
BV785,BV785,V15-A;V15
BUV395,BUV395,UV2-A;UV2
BUV496,BUV496,UV7-A;UV7
BUV563,BUV563,UV9-A;UV9
BUV615,BUV615,UV10-A;UV10
BUV661,BUV661,UV11-A;UV11
BUV737,BUV737,UV14-A;UV14
BUV805,BUV805,UV16-A;UV16
Alexa Fluor 594,ALEXAFLUOR594;AF594,YG3-A;YG3
Alexa Fluor 647,ALEXAFLUOR647;AF647,R2-A;R2
Alexa Fluor 700,ALEXAFLUOR700;AF700,R4-A;R4
