Marker,7-AAD,Alexa 594,Alexa 647,eFluor 506,eFluor 780,FITC,PE,PE-Cy7,Unstained,V450
7-AAD,1,-0.0322719246384102,0.523370820846645,-0.163653894566249,-0.0480674470698156,0.328903683346527,0.00639876856696973,0.525661161111562,-0.391849672836371,-0.151016386695453
Alexa 594,-0.0322719246384102,1,-0.197660062630549,-0.00753800612131599,0.0413228984306057,0.0922914233438438,0.134576979302132,-0.179521191968163,0.00162808527536877,-0.0112335604573084
Alexa 647,0.523370820846645,-0.197660062630549,1,-0.0110027525742579,-0.0595178653250662,-0.0662400314890398,-0.0754597754188334,0.461980416259345,0.0258455190309669,0.000754535025076274
eFluor 506,-0.163653894566249,-0.00753800612131599,-0.0110027525742579,1,-0.0658986042700753,-0.3030093646613,-0.0415538227652575,-0.0237058357316897,0.322910485170393,0.423024263187763
eFluor 780,-0.0480674470698156,0.0413228984306057,-0.0595178653250662,-0.0658986042700753,1,-0.0538863310991348,-0.0018488764384152,-0.173936576010735,-0.0424355255429841,-0.0214107245901402
FITC,0.328903683346527,0.0922914233438438,-0.0662400314890398,-0.3030093646613,-0.0538863310991348,1,0.242395272923738,0.281271276311758,-0.501502410719926,-0.374383311326993
PE,0.00639876856696973,0.134576979302132,-0.0754597754188334,-0.0415538227652575,-0.0018488764384152,0.242395272923738,1,-0.00616914803004561,-0.0352551718562375,-0.0555493209099001
PE-Cy7,0.525661161111562,-0.179521191968163,0.461980416259345,-0.0237058357316897,-0.173936576010735,0.281271276311758,-0.00616914803004561,1,-0.018240195103304,-0.0566640574510239
Unstained,-0.391849672836371,0.00162808527536877,0.0258455190309669,0.322910485170393,-0.0424355255429841,-0.501502410719926,-0.0352551718562375,-0.018240195103304,1,0.299046931848643
V450,-0.151016386695453,-0.0112335604573084,0.000754535025076274,0.423024263187763,-0.0214107245901402,-0.374383311326993,-0.0555493209099001,-0.0566640574510239,0.299046931848643,1
