File,Mean_RRMSE_Pct,Median_RRMSE_Pct,Max_RRMSE_Pct,Cells_Above_5Pct
Ad.GSK3B_125_1 Run 1 20251106143051,0.489949895018437,0.359361668328744,4.93645253225754,0
Ad.GSK3B_125_2 Run 1 20251106144520,0.480087970802927,0.337942081977964,3.53081725749388,0
Ad.GSK3B_125_3 Run 1 20251106145440,0.489106823146473,0.335089734749844,6.05015224557974,1
Ad.GSK3B_250_1 Run 1 20251106143349,0.689413527525514,0.480696435551548,12.0357113104192,2
Ad.GSK3B_250_2 Run 1 20251106144559,0.695463699369626,0.478640141456868,3.601091562197,0
Ad.GSK3B_250_3 Run 2 20251106145645,0.673152469798509,0.44995582376848,3.57518866362989,0
Ad.GSK3B_500_1 Run 1 20251106143712,0.855511648082911,0.630235225906763,9.60182444317945,1
Ad.GSK3B_500_2 Run 1 20251106144733,0.927242265429034,0.752951252470297,3.82535071556091,0
Ad.GSK3B_500_3 Run 1 20251106145726,0.900946119924729,0.695124734648638,3.50661370376827,0
Ad.Luc_500_1 Run 1 20251106142643,0.438827253144561,0.335442966590928,11.4060425938062,2
Ad.Luc_500_2 Run 1 20251106144332,0.382076058560731,0.298825156746567,3.67671986216968,0
Ad.Luc_500_3 Run 1 20251106145244,0.449617642903335,0.315979342118252,3.65214166945154,0
UT_0_1 Run 1 20251106141348,0.51000994881896,0.423626338969184,7.21530140247727,4
UT_0_2 Run 1 20251106144224,0.478920856078104,0.395739009302027,5.78096700124134,1
UT_0_3 Run 1 20251106145131,0.436299125773104,0.341563442994284,3.53857952130328,0
